Facility_ID,Street_No,Street_Name,Street_Type,Street_Direction,Postal_Code,Prov_Terr,City,Facility_Type_ID
158,292,bankside,dr,,,ON,Kitchener,FT1
159,-1,,,,,ON,Bluewater,FT11
160,-1,,,,,ON,Bluewater,FT11
161,40,banting,ave,,M3H 5T3,ON,Toronto,FT1
162,-1,mclaughlin,rd,s,,ON,Brampton,FT1
163,-1,,,,,ON,Ottawa,FT4
164,444,yonge,st,,,ON,Toronto,FT7
165,1930,barbertown,rd,,,ON,Mississauga,FT1
166,-1,leparc,rd,,,ON,Brampton,FT1
167,150,barondale,dr,,,ON,Mississauga,FT1
168,29,barrel yards,blvd,,,ON,Waterloo,FT2
169,-1,,,,,ON,Waterloo,FT1
170,298,eulalie,av,,L1H 2B7,ON,Oshawa,FT3
171,781,lake shore,blvd,w,M5V 3T7,ON,Toronto,FT1
172,781,lake shore,blvd,w,M5V 3T7,ON,Toronto,FT6
173,160,neptune,dr,,,ON,Toronto,FT7
174,160,neptune,dr,,M6A 1K4,ON,Toronto,FT1
175,4,jane,street,,N0M 1G0,ON,Bluewater,FT4
176,56,howard,st,w,N0M 1G0,ON,Bluewater,FT9
177,48,long,rd,,N0M 1G0,ON,Bluewater,FT9
178,-1,lakeshore,lane,,N0M 1G0,ON,Bluewater,FT12
179,20,fishermans,rd,,N0M 1G0,ON,Bluewater,FT12
180,46,bayfield,terrace,,,ON,Bluewater,FT9
181,-1,,,,,ON,Brampton,FT1
182,1300,bayshire,dr,,,ON,Oakville,FT1
183,3230,bayview,ave,,M2M 3R7,ON,Toronto,FT7
184,3240,bayview,ave,,,ON,Toronto,FT7
185,2945,bayview,ave,,M2K 1E9,ON,Toronto,FT1
186,2945,bayview,ave,,M2K 1E9,ON,Toronto,FT6
187,77,kew beach,ave,,M4L 1B8,ON,Toronto,FT9
188,6,williamson,rd,,M4E 1K5,ON,Toronto,FT9
189,501,liverpool,rd,,,ON,Pickering,FT9
190,1900,fowler,dr,,L5K 0A1,ON,Mississauga,FT9
191,2793,beacon,boulevard,,,ON,Lincoln,FT12
192,-1,beaconsfield,av,,,ON,Brampton,FT1
193,99,bearbrook,road,,,ON,Ottawa,FT2
194,-1,,,,,ON,Ottawa,FT2
195,2679,innes,rd,,K1B 5N5,ON,Ottawa,FT2
196,8720,russell,road,,,ON,Ottawa,FT13
197,-1,,,,,ON,Hamilton,FT3
198,96,mary,street,,,ON,Hamilton,FT6
199,-1,mcglaughlin,rd,,,ON,Brampton,FT1
200,66,beaty,ave,,M6K 3B4,ON,Toronto,FT1
201,17,waltham,dr,,M9V 1S6,ON,Toronto,FT1
202,345,beaumont,cres,,,ON,Kitchener,FT1
203,-1,,,,,ON,Greater Sudbury / Grand Sudbury,FT7
204,1002,beaverbrook,road,,,ON,Ottawa,FT2
205,176,main,st,,L0K 1A0,ON,Brock,FT3
206,185,bridge,st,w,,ON,Kitchener,FT10
207,-1,,,,,ON,Kitchener,FT1
208,185,bridge,st,,,ON,Waterloo,FT8
209,81,ranleigh,ave,,M4N 1X2,ON,Toronto,FT5
210,81,ranleigh,ave,,M4N 1X2,ON,Toronto,FT2
211,339,old post,rd,,,ON,Waterloo,FT2
212,525,beechwood,dr,,,ON,Waterloo,FT2
213,454,beechwood,pl,,,ON,Waterloo,FT2
214,486,beechwood,dr,,,ON,Waterloo,FT2
215,350,old post,,,,ON,Waterloo,FT2
216,326,beechlawn,dr,,,ON,Waterloo,FT2
217,4139,ottewell,cres,,L4W 4A4,ON,Mississauga,FT1
218,293,shakespeare,dr,,,ON,Waterloo,FT2
219,160,candlewood,cres,,,ON,Waterloo,FT2
220,475,beechwood,dr,,,ON,Waterloo,FT2
221,139,sandford fleming,dr,,,ON,Waterloo,FT2
222,17247,shaws creek,rd,,L7K 0E8,ON,Caledon,FT1
223,17204,old main,st,,L0N 1B0,ON,Caledon,FT3
224,-1,,,,,ON,Ottawa,FT4
225,5820,bell harbour,dr,,,ON,Mississauga,FT1
226,-1,park,rd,,M1M 1Z1,ON,Toronto,FT1
227,-1,park,rd,,M1M 1Z1,ON,Toronto,FT6
228,-1,,,,,ON,Greater Sudbury / Grand Sudbury,FT9
229,26,hanson,rd,,,ON,Mississauga,FT1
230,-1,bellcrest,rd,,,ON,Brampton,FT1
231,5,bellevue,ave,,M5T 2N4,ON,Toronto,FT1
232,5,bellevue,ave,,M5T 2N4,ON,Toronto,FT2
233,2915,haughton,st,,K2B 6Z4,ON,Ottawa,FT4
234,-1,,,,,ON,Brantford,FT1
235,-1,,,,,ON,Brantford,FT3
236,-1,,,,,ON,Brantford,FT1
237,70,monclova,rd,,M3M 1N5,ON,Toronto,FT1
238,285,belmont,ave,w,,ON,Kitchener,FT1
239,205,belmont,avenue,,,ON,Hamilton,FT6
240,65,ben machree,dr,,L5H 2S3,ON,Mississauga,FT1
241,1075,eglinton,ave,w,M6C 2E1,ON,Toronto,FT1
242,1555,midland,ave,,M1P 3C1,ON,Toronto,FT2
243,25,benner,ave,,M6B 3G9,ON,Toronto,FT1
244,-1,,,,,ON,Hamilton,FT3
245,173,bayview heights,dr,,M4G 2Y7,ON,Toronto,FT1
246,365,bennington,gate,,,ON,Waterloo,FT2
247,401,beresford,ave,,M6S 3B5,ON,Toronto,FT1
248,401,beresford,ave,,M6S 3B5,ON,Toronto,FT2
249,-1,farnham,dr,,,ON,Brampton,FT1
250,-1,,,,,ON,Ottawa,FT4
251,45,nahanni,ter,,M1B 1B7,ON,Toronto,FT1
252,45,nahanni,ter,,M1B 1B7,ON,Toronto,FT6
253,-1,,,,,ON,Hamilton,FT3
254,51,berrigan,drive,,,ON,Ottawa,FT13
255,125,birchcliffe,crescent,,,ON,Hamilton,FT6
256,400,caledonia,rd,w,M6C 200,ON,Toronto,FT1
257,1010,point abino,road,,,ON,Fort Erie,FT12
258,-1,,,,,ON,Fort Erie,FT1
259,-1,,,,,ON,Fort Erie,FT6
260,547,king,st,n,,ON,Waterloo,FT2
261,115,bestview,dr,,M2M 2Y1,ON,Toronto,FT1
262,3311,fieldgate,dr,,L4X 2H9,ON,Mississauga,FT1
263,680,8,,,,ON,Hamilton,FT4
264,-1,,,,,ON,Hamilton,FT3
265,75,beverley glen,rd,,M1W 1W4,ON,Toronto,FT1
266,-1,,,,,ON,Hamilton,FT3
267,400,grace,st,,M6G 3A8,ON,Toronto,FT1
